Tarih,SorumluID,UrunID,Hedef_Adet,Hedef_KG,Hedef_Net_Satis,Hedef_EBIT
2024-01-01,102,2007,5,1.25,2538.26,945.56
2024-01-01,103,2001,8,2.0,4247.72,1449.1
2024-01-01,103,2007,5,1.25,2520.22,927.36
2024-01-01,103,3002,10,10.0,4905.05,1748.22
2024-01-01,104,2003,5,2.5,2530.97,819.88
2024-01-01,105,2005,4,4.0,2082.0,798.43
2024-01-01,105,3001,10,5.0,5100.08,1922.55
2024-01-01,105,4001,9,13.5,23847.46,8869.58
2024-01-01,109,3002,9,9.0,4336.74,1155.44
2024-01-01,110,3002,11,11.0,5420.05,1408.07
2024-01-02,103,2005,1,1.0,508.8,188.72
2024-01-02,103,3002,8,8.0,4168.13,1417.2
2024-01-02,104,3001,2,1.0,1012.64,366.6
2024-01-02,105,2001,3,0.75,1519.36,489.77
2024-01-02,108,2005,2,2.0,1103.29,315.01
2024-01-02,109,4001,9,13.5,22030.32,5221.58
2024-01-02,109,4004,4,2.4,11001.29,2811.42
2024-01-02,109,4005,3,0.9,8141.77,1852.21
2024-01-02,110,3002,7,7.0,3561.53,952.89
2024-01-03,105,2004,3,0.75,1553.45,533.35
2024-01-03,106,2002,11,2.75,5382.12,1971.62
2024-01-03,106,2003,5,2.5,2619.83,898.09
2024-01-03,106,2004,5,1.25,2563.08,791.74
2024-01-03,109,2002,1,0.25,512.98,135.35
2024-01-03,109,3002,4,4.0,2177.0,537.84
2024-01-03,111,4004,4,2.4,10729.15,3967.43
2024-01-03,112,2004,3,0.75,1562.87,532.68
2024-01-04,102,4005,4,1.2,10246.78,2894.2
2024-01-04,105,2001,4,1.0,2079.8,734.31
2024-01-04,105,2003,7,3.5,3574.93,1238.6
2024-01-04,105,4003,8,6.4,21232.3,7777.8
2024-01-04,106,3003,2,2.0,1016.37,321.22
2024-01-04,107,2003,1,0.5,524.69,187.51
2024-01-04,108,2001,10,2.5,5172.63,1420.95
2024-01-04,109,2003,4,2.0,2197.9,569.23
2024-01-04,112,2004,9,2.25,4357.35,1445.53
2024-01-04,112,3003,7,7.0,3619.66,1287.42
2024-01-04,112,4001,7,10.5,18926.97,6726.31
