SatisID,Tarih,NoktaID,UrunID,SorumluID,Miktar,Toplam_KG,Currency
1,2024-01-01,8060,2003,104,4,2.0,TRY
2,2024-01-01,8009,2003,104,1,0.5,TRY
3,2024-01-01,8021,2001,103,8,2.0,TRY
4,2024-01-01,8014,2005,105,4,4.0,TRY
5,2024-01-01,8011,3002,109,8,8.0,AED
6,2024-01-01,8054,3002,110,10,10.0,USD
7,2024-01-01,8037,2007,102,5,1.25,TRY
8,2024-01-01,8047,2007,103,5,1.25,TRY
9,2024-01-01,8045,3001,105,10,5.0,TRY
10,2024-01-01,8028,3002,103,9,9.0,TRY
11,2024-01-01,8034,4001,105,9,13.5,TRY
12,2024-01-02,8002,3002,103,8,8.0,TRY
13,2024-01-02,8054,3002,110,7,7.0,USD
14,2024-01-02,8042,4001,109,8,12.0,AED
15,2024-01-02,8059,3001,104,2,1.0,TRY
16,2024-01-02,8010,4005,109,3,0.9,AED
17,2024-01-02,8013,2005,108,2,2.0,EUR
18,2024-01-02,8048,2001,105,3,0.75,TRY
19,2024-01-02,8042,4004,109,4,2.4,AED
20,2024-01-02,8032,2005,103,1,1.0,TRY
21,2024-01-03,8032,2004,112,3,0.75,TRY
22,2024-01-03,8052,4004,111,4,2.4,TRY
23,2024-01-03,8042,2002,109,1,0.25,AED
24,2024-01-03,8001,2002,106,10,2.5,TRY
25,2024-01-03,8001,2004,106,5,1.25,TRY
26,2024-01-03,8056,2004,105,3,0.75,TRY
27,2024-01-03,8008,3002,109,4,4.0,AED
28,2024-01-03,8020,2003,106,5,2.5,TRY
29,2024-01-04,8019,3003,112,7,7.0,TRY
30,2024-01-04,8006,2003,107,1,0.5,TRY
31,2024-01-04,8055,4001,112,7,10.5,TRY
32,2024-01-04,8059,3003,106,2,2.0,TRY
33,2024-01-04,8035,2004,112,8,2.0,TRY
34,2024-01-04,8039,4005,102,4,1.2,TRY
35,2024-01-04,8044,2001,108,10,2.5,EUR
36,2024-01-04,8045,2001,105,4,1.0,TRY
37,2024-01-04,8016,4003,105,8,6.4,TRY
38,2024-01-04,8048,2003,105,7,3.5,TRY
39,2024-01-04,8010,2003,109,4,2.0,AED
40,2024-01-05,8044,2006,108,8,2.0,EUR
41,2024-01-05,8010,2006,109,2,0.5,AED
42,2024-01-05,8049,3003,101,2,2.0,TRY
43,2024-01-05,8057,4002,103,9,27.0,TRY
44,2024-01-05,8049,2001,101,10,2.5,TRY
45,2024-01-05,8018,3001,106,7,3.5,TRY
46,2024-01-05,8057,4005,103,5,1.5,TRY
47,2024-01-05,8045,4002,105,6,18.0,TRY
48,2024-01-05,8023,2002,102,3,0.75,TRY
49,2024-01-05,8033,2002,106,5,1.25,TRY
50,2024-01-05,8044,4004,108,6,3.6,EUR
51,2024-01-05,8023,2002,102,7,1.75,TRY
52,2024-01-06,8007,4001,105,2,3.0,TRY
53,2024-01-06,8042,4004,109,7,4.2,AED
54,2024-01-06,8020,2007,106,7,1.75,TRY
55,2024-01-06,8045,2006,105,4,1.0,TRY
56,2024-01-06,8026,4004,101,1,0.6,TRY
57,2024-01-06,8056,4005,105,6,1.8,TRY
58,2024-01-06,8007,4003,105,7,5.6,TRY
59,2024-01-06,8002,2003,104,2,1.0,TRY
60,2024-01-06,8026,2006,101,6,1.5,TRY
61,2024-01-07,8057,4004,112,8,4.8,TRY
62,2024-01-07,8023,3003,102,8,8.0,TRY
63,2024-01-07,8017,4001,101,1,1.5,TRY
64,2024-01-07,8005,4003,103,2,1.6,TRY
65,2024-01-07,8016,2007,105,6,1.5,TRY
66,2024-01-07,8053,3003,104,8,8.0,TRY
67,2024-01-07,8057,4004,112,3,1.8,TRY
68,2024-01-08,8021,4001,103,4,6.0,TRY
69,2024-01-08,8048,4003,105,6,4.8,TRY
70,2024-01-08,8051,2005,102,5,5.0,TRY
71,2024-01-08,8045,4002,105,6,18.0,TRY
72,2024-01-08,8027,3003,105,9,9.0,TRY
73,2024-01-09,8010,2004,109,5,1.25,AED
74,2024-01-09,8024,2006,102,10,2.5,TRY
75,2024-01-09,8037,4005,111,6,1.8,TRY
76,2024-01-09,8033,4003,106,1,0.8,TRY
77,2024-01-09,8006,2002,104,1,0.25,TRY
78,2024-01-09,8055,4002,103,4,12.0,TRY
79,2024-01-09,8027,3001,105,9,4.5,TRY
80,2024-01-09,8008,2001,109,1,0.25,AED
81,2024-01-09,8028,4004,109,10,6.0,TRY
82,2024-01-09,8059,2006,106,9,2.25,TRY
83,2024-01-10,8037,3003,111,10,10.0,TRY
84,2024-01-10,8059,4003,107,3,2.4,TRY
85,2024-01-10,8042,3002,109,8,8.0,AED
86,2024-01-10,8029,2004,106,9,2.25,TRY
87,2024-01-10,8053,2007,104,8,2.0,TRY
88,2024-01-10,8003,3002,104,3,3.0,TRY
89,2024-01-10,8053,2006,104,3,0.75,TRY
90,2024-01-10,8008,3002,109,8,8.0,AED
91,2024-01-10,8021,2006,112,3,0.75,TRY
92,2024-01-10,8038,2006,107,1,0.25,TRY
93,2024-01-10,8058,2006,106,8,2.0,TRY
94,2024-01-11,8027,4001,105,3,4.5,TRY
95,2024-01-11,8053,4004,104,7,4.2,TRY
96,2024-01-11,8043,4001,112,7,10.5,TRY
97,2024-01-11,8005,3003,103,10,10.0,TRY
98,2024-01-11,8053,3001,104,8,4.0,TRY
99,2024-01-12,8009,2005,104,5,5.0,TRY
100,2024-01-12,8026,4001,111,4,6.0,TRY
101,2024-01-12,8040,2005,105,9,9.0,TRY
102,2024-01-12,8037,2004,111,4,1.0,TRY
103,2024-01-12,8025,2005,101,9,9.0,TRY
104,2024-01-12,8044,4004,108,8,4.8,EUR
105,2024-01-12,8023,4003,102,5,4.0,TRY
106,2024-01-12,8016,4004,105,6,3.6,TRY
107,2024-01-12,8053,4003,104,2,1.6,TRY
108,2024-01-12,8034,2007,105,2,0.5,TRY
109,2024-01-12,8017,4001,102,9,13.5,TRY
110,2024-01-13,8055,2007,112,4,1.0,TRY
111,2024-01-13,8018,4001,106,8,12.0,TRY
112,2024-01-13,8007,4003,105,6,4.8,TRY
113,2024-01-13,8030,4002,103,4,12.0,TRY
114,2024-01-13,8049,4005,102,6,1.8,TRY
115,2024-01-13,8045,3003,105,3,3.0,TRY
116,2024-01-13,8005,4001,103,9,13.5,TRY
117,2024-01-13,8001,2001,106,5,1.25,TRY
118,2024-01-13,8001,3001,106,2,1.0,TRY
119,2024-01-13,8002,2004,104,5,1.25,TRY
120,2024-01-14,8023,3003,102,9,9.0,TRY
121,2024-01-14,8044,4002,108,4,12.0,EUR
122,2024-01-14,8003,4003,104,10,8.0,TRY
123,2024-01-14,8042,2005,109,2,2.0,AED
124,2024-01-14,8008,2002,109,9,2.25,AED
125,2024-01-14,8052,3001,102,8,4.0,TRY
126,2024-01-14,8009,2002,104,4,1.0,TRY
127,2024-01-14,8047,4005,112,5,1.5,TRY
128,2024-01-14,8054,4005,110,5,1.5,USD
129,2024-01-15,8011,2003,109,10,5.0,AED
130,2024-01-15,8022,2001,112,1,0.25,TRY
131,2024-01-15,8010,4002,109,7,21.0,AED
132,2024-01-15,8038,3001,104,4,2.0,TRY
133,2024-01-15,8015,2001,109,7,1.75,TRY
134,2024-01-16,8012,4003,104,6,4.8,TRY
135,2024-01-16,8060,3002,104,9,9.0,TRY
136,2024-01-16,8052,2002,102,2,0.5,TRY
137,2024-01-16,8031,4003,101,1,0.8,TRY
138,2024-01-16,8007,3002,105,3,3.0,TRY
139,2024-01-16,8002,3003,111,2,2.0,TRY
140,2024-01-16,8051,2002,102,1,0.25,TRY
141,2024-01-16,8010,4005,109,9,2.7,AED
142,2024-01-16,8011,2005,109,5,5.0,AED
143,2024-01-16,8035,2002,103,5,1.25,TRY
144,2024-01-16,8002,2001,102,5,1.25,TRY
145,2024-01-16,8042,4005,109,3,0.9,AED
146,2024-01-16,8022,4003,103,1,0.8,TRY
147,2024-01-16,8003,2004,104,1,0.25,TRY
148,2024-01-16,8056,2001,105,5,1.25,TRY
149,2024-01-17,8054,2007,110,4,1.0,USD
150,2024-01-17,8038,2005,106,10,10.0,TRY
151,2024-01-17,8021,4001,112,9,13.5,TRY
152,2024-01-17,8044,2003,108,4,2.0,EUR
153,2024-01-17,8031,4001,101,2,3.0,TRY
154,2024-01-17,8059,2007,101,2,0.5,TRY
155,2024-01-17,8034,4003,105,5,4.0,TRY
156,2024-01-17,8003,4001,104,3,4.5,TRY
157,2024-01-17,8001,4005,106,4,1.2,TRY
158,2024-01-17,8026,4003,111,8,6.4,TRY
159,2024-01-17,8026,2004,102,1,0.25,TRY
160,2024-01-18,8045,4004,105,2,1.2,TRY
161,2024-01-18,8006,2001,111,5,1.25,TRY
162,2024-01-18,8008,3002,109,10,10.0,AED
163,2024-01-18,8057,4001,103,2,3.0,TRY
164,2024-01-18,8050,2001,111,8,2.0,TRY
165,2024-01-18,8042,4004,109,7,4.2,AED
166,2024-01-19,8039,2005,111,3,3.0,TRY
167,2024-01-19,8044,2004,108,5,1.25,EUR
168,2024-01-19,8030,2002,103,5,1.25,TRY
169,2024-01-19,8042,4001,109,4,6.0,AED
170,2024-01-19,8004,2004,105,3,0.75,TRY
171,2024-01-19,8057,4005,103,5,1.5,TRY
172,2024-01-19,8011,4001,109,9,13.5,AED
173,2024-01-19,8054,2001,110,10,2.5,USD
174,2024-01-19,8047,2004,103,8,2.0,TRY
175,2024-01-19,8044,2007,108,4,1.0,EUR
176,2024-01-19,8008,2004,109,10,2.5,AED
177,2024-01-19,8053,2001,104,3,0.75,TRY
178,2024-01-19,8013,2007,108,9,2.25,EUR
179,2024-01-20,8040,4004,105,4,2.4,TRY
180,2024-01-20,8033,4004,106,3,1.8,TRY
181,2024-01-20,8007,3003,105,3,3.0,TRY
182,2024-01-20,8031,2004,111,6,1.5,TRY
183,2024-01-20,8007,4005,105,3,0.9,TRY
184,2024-01-20,8011,4002,109,2,6.0,AED
185,2024-01-20,8047,2001,112,5,1.25,TRY
186,2024-01-20,8008,3003,109,5,5.0,AED
187,2024-01-20,8023,2001,102,6,1.5,TRY
188,2024-01-20,8028,4001,107,5,7.5,TRY
189,2024-01-20,8051,4003,101,10,8.0,TRY
190,2024-01-20,8048,4001,105,7,10.5,TRY
191,2024-01-20,8004,2002,105,10,2.5,TRY
192,2024-01-20,8013,4005,108,6,1.8,EUR
193,2024-01-20,8038,2007,105,3,0.75,TRY
194,2024-01-21,8039,4005,102,6,1.8,TRY
195,2024-01-21,8003,4003,104,10,8.0,TRY
196,2024-01-21,8053,3001,104,6,3.0,TRY
197,2024-01-21,8056,4003,105,5,4.0,TRY
198,2024-01-21,8047,4005,112,1,0.3,TRY
199,2024-01-21,8030,4002,103,1,3.0,TRY
200,2024-01-21,8059,2006,106,9,2.25,TRY
201,2024-01-21,8049,4003,101,6,4.8,TRY
202,2024-01-21,8043,2004,103,6,1.5,TRY
203,2024-01-21,8004,3001,105,6,3.0,TRY
204,2024-01-21,8056,4003,105,7,5.6,TRY
205,2024-01-22,8030,2007,112,6,1.5,TRY
206,2024-01-22,8037,3003,101,6,6.0,TRY
207,2024-01-22,8050,3003,101,4,4.0,TRY
208,2024-01-22,8055,3001,103,10,5.0,TRY
209,2024-01-22,8044,4001,108,2,3.0,EUR
210,2024-01-23,8024,4004,102,1,0.6,TRY
211,2024-01-23,8001,4001,106,8,12.0,TRY
212,2024-01-23,8060,4002,104,3,9.0,TRY
213,2024-01-23,8053,3001,104,6,3.0,TRY
214,2024-01-23,8003,2006,104,10,2.5,TRY
215,2024-01-23,8048,2003,105,10,5.0,TRY
216,2024-01-23,8032,2001,103,4,1.0,TRY
217,2024-01-24,8006,3001,109,6,3.0,TRY
218,2024-01-24,8039,2002,111,2,0.5,TRY
219,2024-01-24,8039,2006,101,10,2.5,TRY
220,2024-01-24,8024,3003,102,6,6.0,TRY
221,2024-01-24,8028,2002,112,7,1.75,TRY
222,2024-01-24,8002,2003,105,6,3.0,TRY
223,2024-01-24,8050,4001,101,8,12.0,TRY
224,2024-01-24,8033,2001,106,4,1.0,TRY
225,2024-01-24,8011,4003,109,9,7.2,AED
226,2024-01-25,8037,2003,111,5,2.5,TRY
227,2024-01-25,8051,4004,101,4,2.4,TRY
228,2024-01-25,8054,3001,110,2,1.0,USD
229,2024-01-25,8049,3003,111,4,4.0,TRY
230,2024-01-25,8051,2005,101,5,5.0,TRY
231,2024-01-25,8026,4002,102,4,12.0,TRY
