Satis_ID,Brut_Ciro,Iskonto,Net_Satis,OTV,KDV,Export_Tax,COGS,OPEX,EBIT
1,2077.04,157.04,1920.0,0.0,384.0,0.0,644.9,284.16,606.94
2,548.51,68.51,480.0,0.0,96.0,0.0,162.09,51.4,170.51
3,4034.04,194.04,3840.0,0.0,768.0,0.0,1318.42,443.57,1310.01
4,2132.54,212.54,1920.0,0.0,384.0,0.0,602.94,196.76,736.3
5,4165.01,325.01,3840.0,0.0,768.0,307.2,1334.55,407.15,1023.09
6,5074.06,274.06,4800.0,0.0,960.0,384.0,1523.77,685.24,1246.99
7,2700.72,300.72,2400.0,0.0,480.0,0.0,725.09,300.86,894.05
8,2713.28,313.28,2400.0,0.0,480.0,0.0,728.86,308.02,883.12
9,5042.86,242.86,4800.0,0.0,960.0,0.0,1506.02,524.55,1809.43
10,4551.09,231.09,4320.0,0.0,864.0,0.0,1442.29,474.01,1539.7
11,23905.5,2305.5,21600.0,0.0,4320.0,0.0,6701.01,2545.32,8033.68
12,4406.58,566.58,3840.0,0.0,768.0,0.0,1250.6,515.77,1305.63
13,3673.99,313.99,3360.0,0.0,672.0,268.8,1055.63,464.61,898.97
14,20210.65,1010.65,19200.0,0.0,3840.0,1536.0,6471.88,2801.39,4550.74
15,1037.99,77.99,960.0,0.0,192.0,0.0,294.5,125.96,347.54
16,7597.68,397.68,7200.0,360.0,1440.0,576.0,2285.09,900.96,1637.96
17,1055.47,95.47,960.0,0.0,192.0,76.8,309.79,107.31,274.1
18,1650.63,210.63,1440.0,0.0,288.0,0.0,474.66,213.16,464.19
19,10565.78,965.78,9600.0,0.0,1920.0,768.0,3115.23,1343.45,2453.31
20,511.89,31.89,480.0,0.0,96.0,0.0,148.06,57.9,178.04
21,1609.74,169.74,1440.0,0.0,288.0,0.0,494.13,167.07,490.8
22,10287.2,687.2,9600.0,0.0,1920.0,0.0,3137.91,992.2,3549.89
23,512.81,32.81,480.0,0.0,96.0,38.4,161.02,57.93,126.65
24,5502.57,702.57,4800.0,0.0,960.0,0.0,1571.62,510.01,1758.37
25,2700.25,300.25,2400.0,0.0,480.0,0.0,830.15,348.49,741.36
26,1585.15,145.15,1440.0,0.0,288.0,0.0,443.41,214.19,494.4
27,2071.4,151.4,1920.0,0.0,384.0,153.6,663.06,244.99,474.35
28,2559.86,159.86,2400.0,0.0,480.0,0.0,745.38,351.89,822.73
29,3832.53,472.53,3360.0,0.0,672.0,0.0,1019.57,473.36,1195.07
30,544.86,64.86,480.0,0.0,96.0,0.0,144.73,67.72,171.54
31,19086.84,2286.84,16800.0,0.0,3360.0,0.0,5055.85,2413.73,5970.42
32,1063.26,103.26,960.0,0.0,192.0,0.0,324.02,140.57,303.4
33,4390.7,550.7,3840.0,0.0,768.0,0.0,1330.12,467.98,1273.9
34,10755.53,1155.53,9600.0,480.0,1920.0,0.0,3218.37,1270.1,2711.52
35,5182.53,382.53,4800.0,0.0,960.0,384.0,1468.23,669.19,1318.59
36,2199.86,279.86,1920.0,0.0,384.0,0.0,598.94,259.16,677.89
37,21629.66,2429.66,19200.0,0.0,3840.0,0.0,6091.74,2234.93,7033.33
38,3838.87,478.87,3360.0,0.0,672.0,0.0,1047.05,476.82,1164.13
39,2072.67,152.67,1920.0,0.0,384.0,153.6,644.85,240.29,497.26
40,4332.99,492.99,3840.0,0.0,768.0,307.2,1266.25,555.82,942.73
41,1029.75,69.75,960.0,0.0,192.0,76.8,335.97,139.81,215.42
42,1043.32,83.32,960.0,0.0,192.0,0.0,301.8,132.85,333.36
43,23397.46,1797.46,21600.0,4320.0,4320.0,0.0,6904.92,2246.76,3808.32
44,5498.45,698.45,4800.0,0.0,960.0,0.0,1450.01,552.47,1837.52
45,3713.86,353.86,3360.0,0.0,672.0,0.0,1034.68,496.04,1157.28
46,13211.2,1211.2,12000.0,600.0,2400.0,0.0,3968.5,1284.43,3747.06
47,16138.71,1738.71,14400.0,2880.0,2880.0,0.0,4469.66,1873.48,2296.86
48,1587.37,147.37,1440.0,0.0,288.0,0.0,478.28,190.29,483.44
49,2670.74,270.74,2400.0,0.0,480.0,0.0,801.91,309.36,808.72
50,15289.87,889.87,14400.0,0.0,2880.0,1152.0,4641.09,1833.2,3893.71
51,3585.42,225.42,3360.0,0.0,672.0,0.0,1111.03,421.12,1155.85
52,5429.11,629.11,4800.0,0.0,960.0,0.0,1660.88,581.79,1597.33
53,17696.59,896.59,16800.0,0.0,3360.0,1344.0,5631.74,1907.28,4556.98
54,3800.31,440.31,3360.0,0.0,672.0,0.0,1047.45,338.95,1301.6
55,2079.28,159.28,1920.0,0.0,384.0,0.0,630.66,198.37,706.97
56,2716.95,316.95,2400.0,0.0,480.0,0.0,839.15,292.31,788.54
57,16445.81,2045.81,14400.0,720.0,2880.0,0.0,4912.16,1936.2,3951.64
58,18043.75,1243.75,16800.0,0.0,3360.0,0.0,5325.88,2447.18,5666.94
59,1070.42,110.42,960.0,0.0,192.0,0.0,306.35,107.35,354.31
60,3107.05,227.05,2880.0,0.0,576.0,0.0,969.9,390.31,943.8
61,22034.24,2834.24,19200.0,0.0,3840.0,0.0,5960.7,2198.32,7200.98
62,4348.53,508.53,3840.0,0.0,768.0,0.0,1196.61,427.01,1448.38
63,2702.29,302.29,2400.0,0.0,480.0,0.0,720.22,249.92,949.86
64,5426.2,626.2,4800.0,0.0,960.0,0.0,1624.44,696.66,1518.91
65,3085.1,205.1,2880.0,0.0,576.0,0.0,993.6,411.67,898.74
66,4076.93,236.93,3840.0,0.0,768.0,0.0,1170.8,399.2,1502.0
67,8264.57,1064.57,7200.0,0.0,1440.0,0.0,2452.03,1023.07,2284.9
68,10118.69,518.69,9600.0,0.0,1920.0,0.0,3137.75,1206.85,3335.4
69,16258.77,1858.77,14400.0,0.0,2880.0,0.0,4401.42,2071.99,5046.59
70,2747.85,347.85,2400.0,0.0,480.0,0.0,806.24,313.47,800.29
71,15154.19,754.19,14400.0,2880.0,2880.0,0.0,4723.26,1801.49,2115.25
72,4942.46,622.46,4320.0,0.0,864.0,0.0,1317.4,585.68,1552.92
73,2663.58,263.58,2400.0,0.0,480.0,192.0,763.5,262.94,701.56
74,5406.7,606.7,4800.0,0.0,960.0,0.0,1630.57,549.99,1659.44
75,15365.23,965.23,14400.0,720.0,2880.0,0.0,4332.41,1658.42,4809.17
76,2748.93,348.93,2400.0,0.0,480.0,0.0,781.76,259.0,879.24
77,546.39,66.39,480.0,0.0,96.0,0.0,167.56,66.8,149.64
78,10680.23,1080.23,9600.0,1920.0,1920.0,0.0,3087.94,1277.8,1394.26
79,4943.82,623.82,4320.0,0.0,864.0,0.0,1326.49,622.22,1507.28
80,530.87,50.87,480.0,0.0,96.0,38.4,149.27,64.5,131.83
81,27567.06,3567.06,24000.0,0.0,4800.0,0.0,8142.04,3015.64,8042.32
82,4861.74,541.74,4320.0,0.0,864.0,0.0,1404.87,475.65,1575.48
